TICKER	FECHA	APERTURA	MAXIMO	MINIMO	ULTIMO	VOLUMEN
FDR	07/08/2014	3,0549	3,1099	3,0099	3,0349	20947
FDR	08/08/2014	3,0349	3,0349	2,9299	3,0099	16615
FDR	11/08/2014	3,0099	3,1599	3,0099	3,0449	10703
FDR	12/08/2014	2,9799	2,9899	2,8399	2,8399	212908
FDR	13/08/2014	2,8399	2,8449	2,6949	2,7249	402302
FDR	14/08/2014	2,6849	2,6949	2,6149	2,6499	87799
FDR	15/08/2014	2,6599	2,6599	2,5549	2,5749	121962
FDR	18/08/2014	2,5799	2,6099	2,5499	2,5499	192724
FDR	19/08/2014	2,5599	2,6099	2,5499	2,6049	59610
FDR	20/08/2014	2,6199	2,6299	2,6149	2,6199	14414
FDR	21/08/2014	2,6949	2,8099	2,6099	2,6999	44406
FDR	22/08/2014	2,6999	2,7499	2,6199	2,6599	25973
FDR	25/08/2014	2,6999	2,7599	2,6599	2,7599	36715
FDR	26/08/2014	2,7399	2,7599	2,7199	2,7349	39368
FDR	27/08/2014	2,7249	2,7399	2,7099	2,7299	46865
FDR	28/08/2014	2,7399	2,7899	2,7249	2,7749	56253
FDR	29/08/2014	2,8199	2,9049	2,7799	2,8649	121657
FDR	01/09/2014	2,8849	2,8849	2,8399	2,8499	31692
FDR	02/09/2014	2,8499	2,8799	2,8399	2,8799	17066
FDR	03/09/2014	2,8799	2,9049	2,8799	2,9049	32641
FDR	04/09/2014	2,8699	2,9499	2,8449	2,9499	51006
FDR	05/09/2014	2,9349	3,0149	2,9149	3,0149	33762
FDR	08/09/2014	3,0349	3,0599	3,0199	3,0499	18231
FDR	09/09/2014	3,0399	3,0599	3,0099	3,0449	31493
FDR	10/09/2014	3,0499	3,0499	2,9799	3,0449	16876
FDR	11/09/2014	3,0099	3,0399	3,0099	3,0349	7457
FDR	12/09/2014	3,0449	3,0499	3,0349	3,0499	11852
FDR	15/09/2014	3,0149	3,0399	2,9399	3,0399	38499
FDR	16/09/2014	3,0249	3,0249	2,9799	3,0149	181907
FDR	17/09/2014	2,9999	3,0149	2,9699	2,9899	139057
FDR	18/09/2014	2,9799	3,0049	2,9799	2,9899	5190
FDR	19/09/2014	2,9899	3,0149	2,9299	2,9349	35217
FDR	22/09/2014	2,9249	2,9649	2,9249	2,9649	12273
FDR	23/09/2014	2,9549	2,9699	2,9299	2,9799	11785
FDR	24/09/2014	2,9649	3,0099	2,9299	2,9599	16070
FDR	25/09/2014	2,9949	3,0049	2,9499	2,9599	28121
FDR	26/09/2014	2,9399	2,9499	2,8649	2,9099	78634
FDR	29/09/2014	2,9099	2,9099	2,8349	2,8349	14109
FDR	30/09/2014	2,8299	2,8499	2,7949	2,8199	71960
FDR	01/10/2014	2,7999	2,8449	2,7999	2,8399	10618
FDR	02/10/2014	2,8049	2,8449	2,7949	2,8249	144664
FDR	03/10/2014	2,7949	2,8499	2,7949	2,7949	32747
FDR	06/10/2014	2,7899	2,7899	2,7599	2,7649	18190
FDR	07/10/2014	2,7599	2,7649	2,7049	2,7549	34087
FDR	08/10/2014	2,7549	2,7549	2,6599	2,6599	8496
FDR	09/10/2014	2,7549	2,7549	2,6099	2,6099	56441
FDR	10/10/2014	2,5899	2,5899	2,4399	2,5099	67538
FDR	13/10/2014	2,5149	2,5149	2,3399	2,4749	152365
FDR	13/10/2014	2,5149	2,5149	2,3399	2,4799	154016
FDR	14/10/2014	2,4749	2,4799	2,4299	2,4449	67750
FDR	15/10/2014	2,4199	2,4649	2,4099	2,4099	169293
FDR	16/10/2014	2,4099	2,4149	2,3099	2,3499	23648
FDR	17/10/2014	2,3199	2,4799	2,2749	2,3499	164259
FDR	20/10/2014	2,3199	2,4299	2,3199	2,3949	48539
FDR	21/10/2014	2,4849	2,4999	2,3899	2,4849	55071
FDR	22/10/2014	2,5499	2,5499	2,4899	2,4899	157717
FDR	23/10/2014	2,5099	2,6599	2,5099	2,6199	61687
FDR	24/10/2014	2,5099	2,7099	2,5099	2,6599	22160
FDR	27/10/2014	2,7099	2,7099	2,5299	2,5599	14908
FDR	28/10/2014	2,5649	2,5949	2,5599	2,5599	7433
FDR	29/10/2014	2,5699	2,6999	2,5149	2,5199	28476
FDR	30/10/2014	2,5599	2,5599	2,4449	2,5099	13243
